time(s),iter,infeas,ot_objective,primal,dual,solver,N,w,tau,eta,p,prob1,prob2
0.000629126,1,0.525316887084832,0.206598689156772,1.25661541180636,0.0,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.1166177,501,0.0114763358582114,0.0376897775259547,0.0597438144754496,-0.0791133349086937,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.2765151,1001,0.0015659383452036,0.0225725889997131,0.0254844141451149,0.00291282712368579,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.3872062,1501,0.000534127836395929,0.0173216068165413,0.0183036919372999,0.00664021482792315,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.5021207,2001,0.000107390532137512,0.0145966957333561,0.014799315717903,0.00681540804746561,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.6190808,2501,0.000113453594879653,0.0129829108696487,0.0131932411141149,0.00688207217955433,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.7409081,3001,0.000193446728437378,0.0119032820006384,0.012258485906145,0.00693135643374876,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.8593554,3501,0.00011112017751983,0.0111000975633341,0.0112997706954021,0.00697618495247418,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.9800913,4001,7.30161440205165e-5,0.0104952564584096,0.0106287360942297,0.0070600239931512,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.108089,4501,9.75044421157162e-5,0.0100345075486539,0.0102120476592463,0.00711089802799766,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.235676,5001,7.58409204791621e-5,0.00965594887794264,0.00979458724682292,0.00718189612666933,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.366928,5501,3.25566617554638e-5,0.00934458506057313,0.0094042295653481,0.00724197010957997,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.611159,6001,6.02722953800373e-5,0.00909936913797044,0.00920974388879062,0.00730625885831854,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.722455,6501,6.17651236726526e-5,0.00889235379112821,0.0090037875077306,0.00736704808828903,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.835368,7001,4.09732108371487e-5,0.00871556801110911,0.00878912252022462,0.00741717140793463,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
1.950042,7501,1.27162235359466e-5,0.00856603881440889,0.00858899382190901,0.00745604498948349,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
2.068757,8001,1.65613229923236e-5,0.00844598505806923,0.00847676551759578,0.0074954913970203,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
2.190415,8501,1.95782410669723e-5,0.00834593658091446,0.00838244140055185,0.00752904552110154,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
2.311486,9001,2.45077435093978e-5,0.00826349677018559,0.00830866980269691,0.00756132211614766,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
2.433241,9501,3.22856190634781e-5,0.00819542395367745,0.0082546394834729,0.00759339524183211,lamp_cuda,100,10,0.1,0.0,2.0,LogitGRF/data32_1008.csv,LogitGRF/data32_1005.csv
0.000366602,1,0.631899338701148,0.169249363152158,1.44884325410564,0.0,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.1281953,501,0.0172068091915654,0.0535937173951684,0.086622945850433,-0.0749267716002195,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.2615251,1001,0.00406243866973633,0.0386752079317084,0.0465208207282977,0.0177666463006172,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.392454,1501,0.00059309348636656,0.0331088392812093,0.034210345884956,0.0216357924014923,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.6522047,2001,0.00068823431428011,0.0304612773287917,0.0317863127028338,0.0222344185100266,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.7623666,2501,0.000115379150054155,0.0287512056951271,0.028966927187075,0.0224411472181282,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.8743646,3001,0.000480791761560313,0.0277089335764243,0.0286117351199087,0.0227924674804902,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.9883313,3501,0.000160415791135335,0.0268801791240899,0.0271726383980302,0.0228441416481772,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.103825,4001,8.19385321692849e-5,0.0262911552065175,0.0264460234846733,0.0229599576369554,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.220813,4501,0.00022914919710143,0.0258710402388145,0.0263088634460971,0.0231474680974994,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.339292,5001,0.000214154176965514,0.0255212632376517,0.0259208849508058,0.0232596487918053,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.459606,5501,0.000114051024703745,0.0252302175675259,0.0254399000136592,0.0232962810595786,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.584431,6001,8.61773294547648e-5,0.0250008705261806,0.0251577477646413,0.0233347495658487,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.710829,6501,0.000121108465078967,0.024829493876375,0.0250608818582766,0.023441691487092,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.835804,7001,0.000118806928083121,0.0246769043027742,0.0248928823043068,0.0234753532393509,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
1.961618,7501,5.55702174787416e-5,0.0245514640364653,0.0246580178345507,0.0235525413112656,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
2.091317,8001,5.48366284323664e-5,0.0244533712655683,0.0245553926770075,0.023563257851032,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
2.226354,8501,4.85849736187308e-5,0.0243685289228745,0.0244569815154714,0.0236335595210903,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
2.364392,9001,7.20283225510349e-5,0.0243078869249158,0.0244409097161832,0.02367064218953,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
2.642955,9501,2.81636359407921e-5,0.0242458319777748,0.0242966538519246,0.0236879344551774,lamp_cuda,100,10,0.1,0.0,2.0,MicroscopyImages/data32_1003.csv,MicroscopyImages/data32_1008.csv
0.000330637,1,0.203870293756065,0.206032973014456,0.612737535674575,0.0,lamp_cuda,100,10,0.1,0.0,2.0,WhiteNoise/data32_1007.csv,WhiteNoise/data32_1001.csv
0.114129,501,0.0131893169910946,0.0338645527812753,0.0591302058521979,-0.0602898214334386,lamp_cuda,100,10,0.1,0.0,2.0,WhiteNoise/data32_1007.csv,WhiteNoise/data32_1001.csv
0.2290555,1001,0.00103096052742218,0.0176306314755746,0.0195889337994971,-0.000766445366227574,lamp_cuda,100,10,0.1,0.0,2.0,WhiteNoise/data32_1007.csv,WhiteNoise/data32_1001.csv
